#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
100,-415107.8903036648,100.14686676625561,243.42089720560304
200,-402139.5653719065,166.8866688956219,240.87392172800097
300,-393330.4381960767,210.16031285573385,240.25658113113636
400,-387237.5447247777,239.10660635297376,240.25658113113636
500,-382493.2187226534,257.54000836769916,240.06187782483156
600,-379132.4371702256,270.14721657609465,240.06187782483156
700,-376628.12705104734,276.6628219435239,239.16486682015767
800,-375260.7752889775,287.2853424071389,239.16486682015767
900,-373814.9208402245,294.82206479398906,239.16486682015767
1000,-372544.32507844124,292.88910301099963,239.16486682015767
1100,-372321.2583899173,294.5302565269552,239.16486682015767
1200,-371761.09485901246,295.7876023661447,236.8765034944206
1300,-371411.5115163115,297.05547807297745,236.16659483961362
1400,-370949.1416427098,297.83985829915815,236.16659483961362
1500,-371396.3914632653,299.63723659894526,234.799387184242
1600,-371140.003986241,297.26265033217817,234.45423824681205
1700,-371225.60472030484,297.74292992905544,234.64437537509215
1800,-371163.42901109415,296.7671522107539,233.98155762974372
1900,-371670.8204499257,299.14262136582283,233.98155762974372
2000,-371954.1968363718,298.77146158510584,233.3816693088179
2100,-371731.07579708175,300.9207283594062,233.382353425592
2200,-371595.91108491085,299.01733794482095,233.13638027212846
2300,-371754.5972633877,303.2510001962465,233.1489184226325
2400,-370815.93410354416,299.2140932118869,233.1489184226325
2500,-371341.9023686535,302.77242270106694,232.8998759662108
2600,-370785.8162340045,299.85676331745225,232.69837751605004
2700,-370775.50307825074,302.2070450996309,232.59064214476683
2800,-370022.55827129027,299.2336257411638,232.65207205221992
2900,-370443.65004774526,304.2020928915852,232.65207205221992
3000,-370933.5083139089,299.46873229836166,232.65207205221992
3100,-371453.5440518143,301.3617282312432,232.65207205221992
3200,-371310.67292627535,303.7531560346176,232.01874847608298
3300,-369781.47172780364,300.4126875941944,232.01874847608298
3400,-371080.5774525072,302.8566352432671,232.01874847608298
3500,-370761.0819781978,303.3102060096733,232.05399037369952
3600,-371037.11614307103,305.0949316387997,232.37595417822982
3700,-370536.0975191986,302.9618915119162,231.88740168452773
3800,-370573.82963379344,303.6609974276799,232.40023377833722
3900,-370217.2725793951,302.32756116344746,232.40023377833722
4000,-370372.97999618395,301.9343592766522,232.34409451516305
4100,-370585.1200703211,302.91786751733815,232.31687160960547
4200,-370868.4642152362,302.2917410687672,232.2556648174087
4300,-371290.0684116776,301.8194507825819,232.2556648174087
4400,-371733.17947193503,303.837671481133,231.5329501274223
4500,-371008.46265829867,299.8447541996863,231.5329501274223
4600,-370961.33037877874,297.55367076481303,231.5329501274223
4700,-371570.894675031,299.16185555540574,231.7911617935659
4800,-371333.77130768297,300.4154139506047,231.8725335627791
4900,-370762.5849761872,301.983255477313,231.8725335627791
5000,-370730.7683926851,302.52486853412915,231.8725335627791
5100,-371131.298489651,303.52890884943497,231.8725335627791
5200,-371971.2771986717,301.49393536026673,231.62758409611538
5300,-371744.5808784216,302.11051409004017,231.3433517201606
5400,-372681.6634194651,302.71234401470326,231.3433517201606
5500,-371487.8378428758,299.7981094103025,231.3433517201606
5600,-371497.72623870487,300.0670818777434,232.11839132361945
5700,-371908.4344475644,301.3891188066977,232.43895696866335
5800,-371239.8647043,297.2976690945791,232.4357651673519
5900,-371671.1920923633,297.05937775185186,232.23609571383886
6000,-372126.2816446982,299.48599689830706,232.47257646971087
6100,-371780.30176708905,299.12026653634643,232.20311842988002
6200,-371403.4406258006,299.11229430712183,231.98981293180194
6300,-371461.76052834344,299.9982012277963,232.9372369457587
6400,-370730.9098126152,300.48312678175523,232.1836262561997
6500,-371310.86415727454,299.68008046475387,232.1836262561997
6600,-371752.08157891803,304.3675465896468,232.15772098219566
6700,-371564.53341938206,301.4314935531334,232.15772098219566
6800,-371024.8094998699,299.5984214552658,232.60924121500003
6900,-371255.3662255886,302.65508652781665,232.57337430645663
