pH;pKa
0;18.972085
0.25;18.950359999999996
0.5;18.910250000000005
0.75;18.84638499999999
1;18.735859999999995
1.25;18.552765000000008
1.5;18.265555
1.75;17.82782499999999
2;17.195974999999997
2.25;16.327639999999988
2.5;15.153949999999988
2.75;13.650919999999992
3;11.830905000000008
3.25;9.73284499999999
3.5;7.416809999999998
3.75;5.0040949999999995
4;2.5791050000000055
4.25;0.31136999999999304
4.5;-1.7067100000000046
4.6;-2.444965
4.75;-3.4221800000000044
5;-4.77873000000001
5.25;-5.827180000000002
5.5;-6.644385
5.75;-7.282495000000001
6;-7.844155000000004
6.25;-8.352900000000002
6.5;-8.896329999999999
6.75;-9.454835000000003
7;-10.029545000000002
7.25;-10.583274999999993
7.5;-11.1007
7.75;-11.579014999999995
8;-11.99814
8.25;-12.363124999999997
8.5;-12.676880000000004
8.75;-12.959780000000002
9;-13.239935
9.25;-13.563290000000002
9.5;-13.98979
9.75;-14.545165
10;-15.263569999999994
10.25;-16.16012
10.5;-17.276514999999996
10.75;-18.580835
11;-19.991565
11.25;-21.465564999999998
11.5;-22.852515
11.75;-24.11692
12;-25.207105
